seed,generation,graph_size,max_size,environment,solver,run_id
2,899,30.0,68.0,halfcheetah,cgp,in7rrj1o
2,499,24.0,68.0,halfcheetah,cgp,in7rrj1o
2,999,24.0,68.0,halfcheetah,cgp,in7rrj1o
2,699,27.0,68.0,halfcheetah,cgp,in7rrj1o
3,599,20.0,61.0,hopper,cgp,5gkjpkt1
3,99,20.0,61.0,hopper,cgp,5gkjpkt1
3,199,15.0,61.0,hopper,cgp,5gkjpkt1
3,799,20.0,61.0,hopper,cgp,5gkjpkt1
3,399,15.0,61.0,hopper,cgp,5gkjpkt1
3,299,15.0,61.0,hopper,cgp,5gkjpkt1
3,899,18.0,61.0,hopper,cgp,5gkjpkt1
3,499,21.0,61.0,hopper,cgp,5gkjpkt1
3,999,19.0,61.0,hopper,cgp,5gkjpkt1
3,699,19.0,61.0,hopper,cgp,5gkjpkt1
9,599,15.0,61.0,hopper,cgp,m4makrnd
9,99,14.0,61.0,hopper,cgp,m4makrnd
9,199,16.0,61.0,hopper,cgp,m4makrnd
9,799,18.0,61.0,hopper,cgp,m4makrnd
9,399,17.0,61.0,hopper,cgp,m4makrnd
9,299,17.0,61.0,hopper,cgp,m4makrnd
9,899,16.0,61.0,hopper,cgp,m4makrnd
9,499,17.0,61.0,hopper,cgp,m4makrnd
9,999,18.0,61.0,hopper,cgp,m4makrnd
9,699,16.0,61.0,hopper,cgp,m4makrnd
7,599,32.0,68.0,halfcheetah,cgp,88u7agtv
7,99,27.0,68.0,halfcheetah,cgp,88u7agtv
7,199,31.0,68.0,halfcheetah,cgp,88u7agtv
7,799,30.0,68.0,halfcheetah,cgp,88u7agtv
7,399,36.0,68.0,halfcheetah,cgp,88u7agtv
7,299,25.0,68.0,halfcheetah,cgp,88u7agtv
7,899,26.0,68.0,halfcheetah,cgp,88u7agtv
7,499,27.0,68.0,halfcheetah,cgp,88u7agtv
7,999,27.0,68.0,halfcheetah,cgp,88u7agtv
7,699,32.0,68.0,halfcheetah,cgp,88u7agtv
7,599,19.0,61.0,hopper,cgp,pz9u5c09
7,99,16.0,61.0,hopper,cgp,pz9u5c09
7,199,20.0,61.0,hopper,cgp,pz9u5c09
7,799,18.0,61.0,hopper,cgp,pz9u5c09
7,399,15.0,61.0,hopper,cgp,pz9u5c09
7,299,15.0,61.0,hopper,cgp,pz9u5c09
7,899,18.0,61.0,hopper,cgp,pz9u5c09
7,499,19.0,61.0,hopper,cgp,pz9u5c09
7,999,18.0,61.0,hopper,cgp,pz9u5c09
7,699,18.0,61.0,hopper,cgp,pz9u5c09
9,599,91.0,137.0,ant,cgp,p6t5mjjp
9,99,91.0,137.0,ant,cgp,p6t5mjjp
9,199,91.0,137.0,ant,cgp,p6t5mjjp
9,799,93.0,137.0,ant,cgp,p6t5mjjp
9,399,90.0,137.0,ant,cgp,p6t5mjjp
