,iteration,front_size,reward,simplicity
565,225,2,946.7175,0.93333334
566,226,2,368.4833,1.0
567,226,2,946.7175,0.93333334
568,227,3,368.4833,1.0
569,227,3,946.7175,0.93333334
570,227,3,985.3856,0.79999995
571,228,3,368.4833,1.0
572,228,3,946.7175,0.93333334
573,228,3,985.3856,0.79999995
574,229,3,368.4833,1.0
575,229,3,985.3856,0.79999995
576,229,3,965.8545,0.93333334
577,230,3,368.4833,1.0
578,230,3,985.3856,0.79999995
579,230,3,965.8545,0.93333334
580,231,3,368.4833,1.0
581,231,3,985.3856,0.79999995
582,231,3,965.8545,0.93333334
583,232,3,368.4833,1.0
584,232,3,985.3856,0.79999995
585,232,3,965.8545,0.93333334
586,233,3,368.4833,1.0
587,233,3,985.3856,0.79999995
588,233,3,965.8545,0.93333334
589,234,3,368.4833,1.0
590,234,3,985.3856,0.79999995
591,234,3,965.8545,0.93333334
592,235,3,368.4833,1.0
593,235,3,985.3856,0.79999995
594,235,3,965.8545,0.93333334
595,236,3,368.4833,1.0
596,236,3,985.3856,0.79999995
597,236,3,985.2074,0.93333334
598,237,3,368.4833,1.0
599,237,3,985.3856,0.79999995
600,237,3,985.2074,0.93333334
601,238,3,368.4833,1.0
602,238,3,985.3856,0.79999995
603,238,3,985.2074,0.93333334
604,239,3,368.4833,1.0
605,239,3,985.3856,0.79999995
606,239,3,985.2074,0.93333334
607,240,2,368.4833,1.0
608,240,2,985.2074,0.93333334
609,241,2,368.4833,1.0
610,241,2,965.8545,0.93333334
611,242,2,368.4833,1.0
612,242,2,947.06384,0.93333334
613,243,2,368.4833,1.0
614,243,2,947.06384,0.93333334
615,244,2,368.4833,1.0
616,244,2,946.87415,0.93333334
617,245,2,368.4833,1.0
618,245,2,946.87415,0.93333334
619,246,2,368.4833,1.0
620,246,2,946.87415,0.93333334
621,247,2,368.4833,1.0
622,247,2,946.87415,0.93333334
623,248,2,368.4833,1.0
624,248,2,946.87415,0.93333334
625,249,3,368.4833,1.0
626,249,3,946.87415,0.93333334
627,249,3,975.6581,0.8666667
628,250,2,368.4833,1.0
629,250,2,947.2033,0.93333334
630,251,2,368.4833,1.0
631,251,2,946.7175,0.93333334
632,252,2,368.4833,1.0
633,252,2,937.6781,0.93333334
634,253,2,368.4833,1.0
635,253,2,936.34705,0.93333334
636,254,2,368.4833,1.0
637,254,2,936.34705,0.93333334
638,255,2,368.4833,1.0
639,255,2,927.018,0.93333334
640,256,2,368.4833,1.0
641,256,2,927.018,0.93333334
642,257,2,368.4833,1.0
643,257,2,918.4057,0.93333334
644,258,2,368.4833,1.0
645,258,2,918.4057,0.93333334
646,259,2,368.4833,1.0
647,259,2,918.4057,0.93333334
648,260,2,368.4833,1.0
649,260,2,917.8267,0.93333334
650,261,2,368.4833,1.0
651,261,2,917.8267,0.93333334
652,262,3,368.4833,1.0
653,262,3,917.8267,0.93333334
654,262,3,1200.1521,0.73333335
655,263,3,368.4833,1.0
656,263,3,917.8267,0.93333334
657,263,3,1200.1521,0.73333335
658,264,3,368.4833,1.0
659,264,3,917.8267,0.93333334
660,264,3,1200.1521,0.73333335
661,265,3,368.4833,1.0
662,265,3,917.8267,0.93333334
663,265,3,1200.1521,0.73333335
664,266,4,368.4833,1.0
665,266,4,917.8267,0.93333334
666,266,4,1200.1521,0.73333335
667,266,4,918.4678,0.79999995
668,267,3,368.4833,1.0
669,267,3,1200.1521,0.73333335
670,267,3,918.5304,0.93333334
671,268,4,368.4833,1.0
672,268,4,1200.1521,0.73333335
673,268,4,918.5304,0.93333334
674,268,4,946.42926,0.8666667
675,269,4,368.4833,1.0
676,269,4,1200.1521,0.73333335
677,269,4,918.5304,0.93333334
678,269,4,975.26794,0.8666667
679,270,4,368.4833,1.0
680,270,4,1200.1521,0.73333335
681,270,4,918.5304,0.93333334
682,270,4,975.26794,0.8666667
683,271,4,368.4833,1.0
684,271,4,1200.1521,0.73333335
685,271,4,975.26794,0.8666667
686,271,4,947.2395,0.93333334
