,training.top_k_forward_reward.top_1_forward_reward,training.top_k_reward.top_1_reward,training.top_k_ctrl_reward.top_0_ctrl_reward,_step,_runtime,training.run_id,training.top_k_fit.top_2_fit,training.evaluation_time,training.top_k_healthy_reward.top_0_healthy_reward,training.fitness_std,training.top_k_fit.top_1_fit,training.top_k_reward.top_2_reward,training.fitness_mean,training.top_k_forward_reward.top_2_forward_reward,training.fitness_1q,training.top_k_reward.top_0_reward,training.top_k_healthy_reward.top_1_healthy_reward,training.generation,training.fitness_median,training.top_k_ctrl_reward.top_2_ctrl_reward,training.top_k_forward_reward.top_0_forward_reward,training.top_k_healthy_reward.top_2_healthy_reward,training.fitness_3q,training.top_k_fit.top_0_fit,_timestamp,training.top_k_ctrl_reward.top_1_ctrl_reward,solver,ea,fitness,environment,seed,training.evaluation
40,0,999.0,0,40,67.03857398033142,104,999,1.2742829322814941,0,325.1054382324219,999,999.0,168.05999755859375,0,66.0,999,0,40,32.5,0,0,0,15.75,999,1693558566.858352,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4000
41,0,999.0,0,41,68.35817241668701,104,999,1.2782045602798462,0,337.12567138671875,999,999.0,171.69000244140625,0,55.75,999,0,41,30.0,0,0,0,6.75,999,1693558568.1779504,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4100
42,0,999.0,0,42,69.67627596855164,104,999,1.2761703729629517,0,315.4803466796875,999,999.0,156.41000366210938,0,60.75,999,0,42,30.0,0,0,0,6.75,999,1693558569.496054,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4200
43,0,999.0,0,43,71.00056910514832,104,999,1.280949354171753,0,326.4792175292969,999,999.0,174.239990234375,0,89.0,999,0,43,32.0,0,0,0,10.25,999,1693558570.820347,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4300
44,0,999.0,0,44,72.31776547431946,104,999,1.2751758098602295,0,344.2231140136719,999,999.0,188.92999267578125,0,159.5,999,0,44,32.0,0,0,0,12.25,999,1693558572.1375434,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4400
45,0,999.0,0,45,73.63242530822754,104,999,1.2712067365646362,0,337.44671630859375,999,999.0,181.42999267578125,0,153.25,999,0,45,30.0,0,0,0,6.0,999,1693558573.4522033,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4500
46,0,999.0,0,46,74.94695258140564,104,999,1.272441029548645,0,346.90869140625,999,999.0,193.0500030517578,0,163.25,999,0,46,30.0,0,0,0,6.0,999,1693558574.7667305,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4600
47,0,999.0,0,47,76.267573595047,104,999,1.2709077596664429,0,308.8839111328125,999,999.0,162.05999755859375,0,120.25,999,0,47,32.0,0,0,0,6.0,999,1693558576.0873516,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4700
48,0,999.0,0,48,77.58410716056824,104,999,1.2738151550292969,0,316.0902099609375,999,999.0,167.3199920654297,0,114.5,999,0,48,32.0,0,0,0,12.75,999,1693558577.4038851,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4800
49,0,999.0,0,49,78.89781641960144,104,999,1.2714260816574097,0,324.8784484863281,999,999.0,169.67999267578125,0,97.5,999,0,49,31.0,0,0,0,7.0,999,1693558578.7175944,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,4900
50,0,999.0,0,50,80.21432137489319,104,999,1.2730814218521118,0,334.6239929199219,999,999.0,181.20999145507812,0,132.75,999,0,50,31.0,0,0,0,7.0,999,1693558580.0340993,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5000
51,0,999.0,0,51,81.53275680541992,104,999,1.2742279767990112,0,347.10247802734375,999,999.0,191.17999267578125,0,94.75,999,0,51,30.0,0,0,0,14.5,999,1693558581.3525348,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5100
52,0,999.0,0,52,82.84514546394348,104,999,1.2712584733963013,0,387.1360168457031,999,999.0,229.87998962402344,0,182.25,999,0,52,32.5,0,0,0,7.0,999,1693558582.6649234,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5200
53,0,999.0,0,53,84.16097331047058,104,999,1.2724236249923706,0,327.9320068359375,999,999.0,156.239990234375,0,41.25,999,0,53,29.0,0,0,0,6.0,999,1693558583.9807513,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5300
54,0,999.0,0,54,85.47918272018433,104,999,1.2756901979446411,0,318.4501647949219,999,999.0,139.0,0,34.0,999,0,54,24.0,0,0,0,6.0,999,1693558585.2989607,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5400
55,0,999.0,0,55,86.7935311794281,104,999,1.2716046571731567,0,305.78399658203125,999,999.0,130.30999755859375,0,33.0,999,0,55,29.5,0,0,0,7.75,999,1693558586.6133091,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5500
56,0,999.0,0,56,88.10947346687317,104,999,1.2727762460708618,0,328.40130615234375,999,999.0,151.1999969482422,0,36.25,999,0,56,29.0,0,0,0,6.0,999,1693558587.9292514,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5600
57,0,999.0,0,57,89.42745566368103,104,999,1.2736197710037231,0,350.78973388671875,999,999.0,173.9199981689453,0,37.25,999,0,57,30.0,0,0,0,6.0,999,1693558589.2472336,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5700
58,0,999.0,0,58,90.74206519126892,104,999,1.2718801498413086,0,355.0823974609375,999,999.0,191.4099884033203,0,54.0,999,0,58,31.0,0,0,0,7.0,999,1693558590.5618432,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5800
59,0,999.0,0,59,92.05181241035461,104,999,1.2680902481079102,0,377.6614990234375,999,999.0,215.1199951171875,0,62.0,999,0,59,32.0,0,0,0,11.5,999,1693558591.8715904,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,5900
60,0,999.0,0,60,93.36502480506897,104,999,1.270410418510437,0,369.73748779296875,999,999.0,199.6599884033203,0,56.0,999,0,60,27.5,0,0,0,6.75,999,1693558593.1848028,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6000
61,0,999.0,0,61,94.67519283294678,104,999,1.2691314220428467,0,369.8274230957031,999,999.0,192.36000061035156,0,35.5,999,0,61,27.0,0,0,0,6.75,999,1693558594.4949708,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6100
62,0,999.0,0,62,95.99185705184937,104,999,1.2723920345306396,0,365.2497253417969,999,999.0,196.0699920654297,0,50.0,999,0,62,29.5,0,0,0,6.0,999,1693558595.811635,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6200
63,0,999.0,0,63,97.3218183517456,104,999,1.2860723733901978,0,360.122802734375,999,999.0,182.00999450683594,0,35.0,999,0,63,28.0,0,0,0,6.0,999,1693558597.1415963,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6300
64,0,999.0,0,64,98.64602613449097,104,999,1.2804592847824097,0,348.71954345703125,999,999.0,170.52999877929688,0,43.75,999,0,64,29.0,0,0,0,6.0,999,1693558598.465804,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6400
65,0,999.0,0,65,99.9648072719574,104,999,1.2755262851715088,0,358.1468200683594,999,999.0,179.50999450683594,0,53.0,999,0,65,29.0,0,0,0,6.0,999,1693558599.7845852,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6500
66,0,999.0,0,66,101.2870454788208,104,999,1.277748465538025,0,366.64013671875,999,999.0,190.5399932861328,0,57.75,999,0,66,28.0,0,0,0,6.75,999,1693558601.1068234,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6600
67,0,999.0,0,67,102.65392923355103,104,999,1.3230557441711426,0,357.2704162597656,999,999.0,181.97999572753906,0,62.25,999,0,67,28.0,0,0,0,6.0,999,1693558602.4737072,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6700
68,0,999.0,0,68,103.97936749458313,104,999,1.2728259563446045,0,383.809326171875,999,999.0,214.17999267578125,0,72.25,999,0,68,24.5,0,0,0,6.0,999,1693558603.7991455,0,lgp-long,mu+lambda-ga,reward-unhealthy_termination,inverted_pendulum,104,6800
