iteration,fitness,time
726,0.90625,0.14
727,0.90625,0.14
728,0.90625,0.14
729,0.90625,0.14
730,0.90625,0.14
731,0.90625,0.14
732,0.90625,0.14
733,0.90625,0.14
734,0.90625,0.14
735,0.90625,0.14
736,0.90625,0.15
737,0.90625,0.14
738,0.90625,0.14
739,0.90625,0.14
740,0.90625,0.14
741,0.90625,0.13
742,0.90625,0.14
743,0.90625,0.13
744,0.90625,0.13
745,0.90625,0.13
746,0.90625,0.13
747,0.90625,0.13
748,0.90625,0.13
749,0.90625,0.13
750,0.90625,0.14
751,0.90625,0.14
752,0.90625,0.14
753,0.90625,0.14
754,0.90625,0.14
755,0.90625,0.14
756,0.90625,0.14
757,0.90625,0.14
758,0.90625,0.14
759,0.90625,0.14
760,0.90625,0.14
761,0.90625,0.14
762,0.90625,0.14
763,0.90625,0.14
764,0.90625,0.14
765,0.90625,0.14
766,0.90625,0.14
767,0.90625,0.14
768,0.90625,0.14
769,0.90625,0.14
770,0.90625,0.14
771,0.90625,0.14
772,0.90625,0.14
773,0.90625,0.14
774,0.90625,0.13
775,0.90625,0.14
776,0.90625,0.13
777,0.90625,0.13
778,0.90625,0.14
779,0.90625,0.18
780,0.90625,0.14
781,0.90625,0.14
782,0.90625,0.14
783,0.90625,0.14
784,0.90625,0.14
785,0.90625,0.17
786,0.90625,0.14
787,0.90625,0.14
788,0.90625,0.14
789,0.90625,0.14
790,0.90625,0.14
791,0.90625,0.14
792,0.90625,0.14
793,0.90625,0.14
794,0.90625,0.13
795,0.90625,0.14
796,0.90625,0.14
797,0.90625,0.14
798,0.90625,0.24
799,0.90625,0.14
800,0.90625,0.16
801,0.90625,0.14
802,0.90625,0.14
803,0.90625,0.14
804,0.90625,0.14
805,0.90625,0.14
806,0.90625,0.14
807,0.90625,0.14
808,0.90625,0.14
809,0.90625,0.14
810,0.90625,0.14
811,0.90625,0.14
812,0.90625,0.14
813,0.90625,0.14
814,0.90625,0.15
815,0.90625,0.16
816,0.90625,0.14
817,0.90625,0.14
818,0.90625,0.15
819,0.90625,0.16
820,0.90625,0.14
821,0.90625,0.14
822,0.90625,0.14
823,0.90625,0.14
824,0.90625,0.14
825,0.90625,0.14
826,0.90625,0.14
827,0.90625,0.14
828,0.90625,0.14
829,0.90625,0.16
830,0.90625,0.14
831,0.90625,0.14
832,0.90625,0.14
833,0.90625,0.14
834,0.90625,0.14
835,0.90625,0.14
836,0.90625,0.14
837,0.90625,0.20
838,0.90625,0.14
839,0.90625,0.14
840,0.90625,0.14
841,0.90625,0.14
842,0.90625,0.14
843,0.90625,0.14
844,0.90625,0.14
845,0.90625,0.14
846,0.90625,0.14
847,0.90625,0.16
848,0.90625,0.14
849,0.90625,0.13
850,0.90625,0.13
851,0.90625,0.14
852,0.90625,0.14
853,0.90625,0.14
854,0.90625,0.14
855,0.90625,0.14
856,0.90625,0.14
857,0.90625,0.14
858,0.90625,0.14
859,0.90625,0.15
860,0.90625,0.14
861,0.90625,0.14
862,0.90625,0.13
863,0.90625,0.14
864,0.90625,0.14
865,0.90625,0.15
866,0.90625,0.14
867,0.90625,0.14
868,0.90625,0.14
869,0.90625,0.14
870,0.90625,0.13
871,0.90625,0.13
872,0.90625,0.14
873,0.90625,0.14
874,0.90625,0.16
875,0.90625,0.14
876,0.90625,0.14
877,0.90625,0.20
878,0.90625,0.13
879,0.90625,0.14
880,0.90625,0.14
881,0.90625,0.14
882,0.90625,0.13
883,0.90625,0.13
884,0.90625,0.13
885,0.90625,0.13
886,0.90625,0.14
887,0.90625,0.14
888,0.90625,0.14
889,0.90625,0.14
890,0.90625,0.14
891,0.90625,0.14
892,0.90625,0.14
893,0.90625,0.13
894,0.90625,0.13
895,0.90625,0.13
896,0.90625,0.17
897,0.90625,0.14
898,0.90625,0.14
899,0.90625,0.14
900,0.90625,0.16
901,0.90625,0.14
902,0.90625,0.14
903,0.90625,0.14
904,0.90625,0.17
905,0.90625,0.14
906,0.90625,0.14
907,0.90625,0.14
908,0.90625,0.14
909,0.90625,0.14
910,0.90625,0.14
911,0.90625,0.17
912,0.90625,0.14
913,0.90625,0.18
914,0.90625,0.16
915,0.90625,0.14
916,0.90625,0.13
917,0.90625,0.14
918,0.90625,0.13
919,0.90625,0.17
920,0.90625,0.13
921,0.90625,0.13
922,0.90625,0.13
923,0.90625,0.16
924,0.90625,0.13
925,0.90625,0.14
926,0.90625,0.14
927,0.90625,0.17
928,0.90625,0.14
929,0.90625,0.14
930,0.90625,0.18
931,0.90625,0.14
932,0.90625,0.14
933,0.90625,0.17
934,0.90625,0.14
935,0.90625,0.14
936,0.90625,0.13
937,0.90625,0.14
938,0.90625,0.13
939,0.90625,0.14
940,0.90625,0.16
941,0.90625,0.14
942,0.90625,0.13
943,0.90625,0.20
944,0.90625,0.14
945,0.90625,0.14
946,0.90625,0.14
947,0.90625,0.18
948,0.90625,0.17
949,0.90625,0.14
950,0.90625,0.14
951,0.90625,0.16
952,0.90625,0.14
953,0.90625,0.14
954,0.90625,0.14
955,0.90625,0.14
956,0.90625,0.14
957,0.90625,0.15
958,0.90625,0.13
959,0.90625,0.17
960,0.90625,0.14
961,0.90625,0.13
962,0.90625,0.13
963,0.90625,0.13
964,0.90625,0.13
965,0.90625,0.14
966,0.90625,0.14
967,0.90625,0.17
968,0.90625,0.14
969,0.90625,0.18
970,0.90625,0.14
971,0.90625,0.14
972,0.90625,0.14
973,0.90625,0.14
974,0.90625,0.14
975,0.90625,0.14
976,0.90625,0.14
977,0.90625,0.14
978,0.90625,0.14
979,0.90625,0.18
980,0.90625,0.14
981,0.90625,0.14
982,0.90625,0.14
983,0.90625,0.14
984,0.90625,0.14
985,0.90625,0.13
