,generation,n_edges,phi,solver,environment,seed
461,1799,9,65.79999999999998,cgp,walker2d,105
462,1999,9,65.79999999999998,cgp,walker2d,105
463,499,9,65.79999999999998,cgp,walker2d,105
464,2499,9,65.79999999999998,cgp,walker2d,105
465,1099,9,65.79999999999998,cgp,walker2d,105
466,699,9,66.69999999999999,cgp,walker2d,105
467,1199,9,65.79999999999998,cgp,walker2d,105
468,2399,9,65.79999999999998,cgp,walker2d,105
469,1399,9,65.79999999999998,cgp,walker2d,105
470,1799,12,65.79999999999998,cgp,walker2d,105
471,2499,21,27.19999999999999,cgp,walker2d,105
472,1499,8,75.3,cgp,walker2d,105
473,2399,21,27.19999999999999,cgp,walker2d,105
474,1999,20,54.89999999999999,cgp,walker2d,105
475,2199,20,35.199999999999996,cgp,walker2d,105
476,799,5,77.1,cgp,walker2d,105
477,399,7,76.19999999999999,cgp,walker2d,105
478,1199,5,77.1,cgp,walker2d,105
479,1399,8,67.6,cgp,walker2d,105
480,299,3,78.0,cgp,walker2d,105
481,499,7,75.3,cgp,walker2d,105
482,1099,5,77.1,cgp,walker2d,105
483,599,8,75.3,cgp,walker2d,105
484,1299,6,68.49999999999999,cgp,walker2d,105
485,1599,10,66.69999999999999,cgp,walker2d,105
486,899,5,77.1,cgp,walker2d,105
487,999,5,77.1,cgp,walker2d,105
488,1699,13,53.099999999999994,cgp,walker2d,105
489,1899,14,64.89999999999999,cgp,walker2d,105
490,99,3,78.0,cgp,walker2d,105
491,699,5,77.1,cgp,walker2d,105
492,199,3,78.0,cgp,walker2d,105
493,2299,19,35.4,cgp,walker2d,105
494,2099,17,48.09999999999999,cgp,walker2d,105
495,899,15,56.3,cgp,walker2d,105
496,1899,15,56.3,cgp,walker2d,105
497,1599,15,56.3,cgp,walker2d,105
498,2299,19,38.19999999999999,cgp,walker2d,105
499,2499,20,38.6,cgp,walker2d,105
500,799,15,56.3,cgp,walker2d,105
501,99,1,78.89999999999999,cgp,walker2d,105
502,1499,15,56.3,cgp,walker2d,105
503,299,16,63.999999999999986,cgp,walker2d,105
504,1199,15,56.3,cgp,walker2d,105
505,2199,21,45.89999999999999,cgp,walker2d,105
506,1799,15,56.3,cgp,walker2d,105
507,1299,15,56.3,cgp,walker2d,105
508,1699,15,56.3,cgp,walker2d,105
509,1099,15,56.3,cgp,walker2d,105
510,999,15,56.3,cgp,walker2d,105
511,2399,19,58.099999999999994,cgp,walker2d,105
512,2099,20,43.59999999999999,cgp,walker2d,105
513,1399,15,56.3,cgp,walker2d,105
514,699,15,56.3,cgp,walker2d,105
515,599,15,56.3,cgp,walker2d,105
516,199,16,63.999999999999986,cgp,walker2d,105
517,399,14,64.89999999999999,cgp,walker2d,105
518,1999,17,55.39999999999999,cgp,walker2d,105
519,499,15,56.3,cgp,walker2d,105
520,2199,14,35.8,cgp,walker2d,105
521,499,10,66.69999999999999,cgp,walker2d,105
522,599,10,66.69999999999999,cgp,walker2d,105
523,2099,14,35.8,cgp,walker2d,105
524,1299,10,54.89999999999999,cgp,walker2d,105
525,2499,17,34.0,cgp,walker2d,105
526,1599,14,40.79999999999999,cgp,walker2d,105
527,1399,13,49.9,cgp,walker2d,105
528,199,3,78.0,cgp,walker2d,105
529,799,9,63.5,cgp,walker2d,105
530,899,9,63.5,cgp,walker2d,105
531,299,3,78.0,cgp,walker2d,105
532,1999,14,35.8,cgp,walker2d,105
533,1899,14,35.8,cgp,walker2d,105
534,1799,14,48.5,cgp,walker2d,105
535,2299,14,35.8,cgp,walker2d,105
536,1699,18,23.799999999999997,cgp,walker2d,105
537,1199,10,54.89999999999999,cgp,walker2d,105
538,1099,9,63.5,cgp,walker2d,105
539,2399,18,24.0,cgp,walker2d,105
540,999,9,63.5,cgp,walker2d,105
541,1499,14,40.79999999999999,cgp,walker2d,105
542,99,1,78.89999999999999,cgp,walker2d,105
543,399,7,76.19999999999999,cgp,walker2d,105
544,699,10,66.69999999999999,cgp,walker2d,105
545,1199,10,66.69999999999999,cgp,walker2d,105
546,599,7,76.19999999999999,cgp,walker2d,105
547,899,7,76.19999999999999,cgp,walker2d,105
548,999,7,76.19999999999999,cgp,walker2d,105
549,199,7,76.19999999999999,cgp,walker2d,105
550,1499,10,66.69999999999999,cgp,walker2d,105
551,1399,10,66.69999999999999,cgp,walker2d,105
552,799,7,76.19999999999999,cgp,walker2d,105
553,99,6,75.3,cgp,walker2d,105
554,1099,10,66.69999999999999,cgp,walker2d,105
555,399,7,76.19999999999999,cgp,walker2d,105
556,1299,10,66.69999999999999,cgp,walker2d,105
557,299,7,76.19999999999999,cgp,walker2d,105
558,699,7,76.19999999999999,cgp,walker2d,105
559,499,7,76.19999999999999,cgp,walker2d,105
560,699,5,77.1,cgp,walker2d,105
561,899,6,68.49999999999999,cgp,walker2d,105
562,299,5,77.1,cgp,walker2d,105
563,999,5,77.1,cgp,walker2d,105
564,199,5,77.1,cgp,walker2d,105
565,799,5,77.1,cgp,walker2d,105
566,1299,5,77.1,cgp,walker2d,105
567,1399,5,77.1,cgp,walker2d,105
568,499,5,77.1,cgp,walker2d,105
569,99,3,78.0,cgp,walker2d,105
570,1199,5,77.1,cgp,walker2d,105
571,399,5,77.1,cgp,walker2d,105
572,599,5,77.1,cgp,walker2d,105
573,1499,5,77.1,cgp,walker2d,105
574,1099,5,77.1,cgp,walker2d,105
575,999,6,68.49999999999999,cgp,walker2d,105
576,599,5,77.1,cgp,walker2d,105
577,1299,5,77.1,cgp,walker2d,105
578,499,6,68.49999999999999,cgp,walker2d,105
579,1399,5,77.1,cgp,walker2d,105
580,799,5,77.1,cgp,walker2d,105
581,99,3,78.0,cgp,walker2d,105
582,199,7,76.19999999999999,cgp,walker2d,105
583,1199,5,77.1,cgp,walker2d,105
584,1099,5,77.1,cgp,walker2d,105
585,399,5,77.1,cgp,walker2d,105
586,1499,5,77.1,cgp,walker2d,105
587,699,5,77.1,cgp,walker2d,105
588,899,5,77.1,cgp,walker2d,105
589,299,5,77.1,cgp,walker2d,105
590,899,5,77.1,cgp,walker2d,105
591,499,5,77.1,cgp,walker2d,105
592,1399,5,77.1,cgp,walker2d,105
593,199,5,77.1,cgp,walker2d,105
594,999,5,77.1,cgp,walker2d,105
595,799,5,77.1,cgp,walker2d,105
596,1499,5,77.1,cgp,walker2d,105
597,299,5,77.1,cgp,walker2d,105
598,399,5,77.1,cgp,walker2d,105
599,99,3,78.0,cgp,walker2d,105
600,699,5,77.1,cgp,walker2d,105
